id;title;start_date;end_date;json_ui_details
1;withdrawal circuit;2020-02-10T00:09:45;2020-02-10T02:23:56;frictionless solution-oriented
2;distributed Computers;2020-02-10T02:04:54;2020-02-10T07:02:16;users Guinea
3;SQL lavender;2020-02-09T22:37:42;2020-02-10T03:41:27;Wooden COM Cambridgeshire
4;Squares Table Avon;2020-02-10T09:43:06;2020-02-10T15:34:08;Peru withdrawal Down-sized
5;invoice;2020-02-10T11:53:47;2020-02-09T22:23:31;Tonga
6;Lari;2020-02-10T05:37:15;2020-02-10T21:34:33;Global Soft Missouri
7;Awesome Cotton Tuna;2020-02-10T10:04:41;2020-02-10T02:06:13;yellow Games Concrete
8;system-worthy pixel Phased;2020-02-10T06:49:23;2020-02-10T06:03:23;Towels Internal
9;seize generate;2020-02-10T11:53:18;2020-02-10T20:53:24;Chips microchip
10;Generic;2020-02-10T03:30:49;2020-02-10T16:07:44;generate
