id;event_date;event_type;event_topic;event_detail;is_redline;is_idle_task;json_ui_details
1;2020-02-10T07:56:52;CHECKIN;Advanced bus;Security Virginia;true;true;Clothing deposit quantify
2;2020-02-10T13:01:51;PASS;Chief Coves Concrete;Pizza yellow programming;false;true;Czech Republic
3;2020-02-10T07:49:36;ASSIGN;auxiliary Money Market Account Cotton;Switzerland Chief;false;false;Rue District
4;2020-02-10T07:55:40;APPROVE;Concrete Towels Avon;Automotive frame;true;true;deposit
5;2020-02-10T21:42:10;CHECKOUT;Strategist;Towels applications;false;true;Hat matrices application
6;2020-02-10T12:28:54;APPROVE;orchid Tools;generating Arkansas;false;true;Mountain Malaysia supply-chains
7;2020-02-10T12:23:56;APPROVE;user-centric;Mobility;false;false;Dynamic
8;2020-02-10T09:22:46;ASSIGN;bus withdrawal Toys;Enterprise-wide;false;true;Kids Incredible
9;2020-02-10T02:49:10;PASS;bandwidth;Visionary pixel SAS;true;true;Branding Concrete
10;2020-02-10T12:15:50;PASS;Kids;microchip;true;false;Salad
