id;name;description;sum;count;average
1;Handcrafted Rubber Sausages;Towels Mississippi Product;3394;12052;69742
2;complexity Direct Administrator;online program Refined Granite Gloves;52243;82891;64454
3;payment;Organic Granite;7695;88499;69628
4;magnetic interface;Kansas;80397;53949;53840
5;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;2440;46194;87009
6;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;3759;47987;47978
7;Utah zero defect;bypass e-services;42135;52251;73758
8;Adaptive Practical B2C;SQL;71555;23360;58910
9;24/7;Associate partnerships disintermediate;67964;12443;21825
10;Data open-source Generic;Facilitator XSS;60079;46740;90372
