id;name;description;status;assigned_date;estimated_completion_date;completed_date;draft_due_date;internal_due_date;priority;is_overdue;in_progress;grade;json_ui_details
1;User-centric Principal Pennsylvania;repurpose Sleek;QC_PASS;Cotton;2020-02-10T10:11:39;2020-02-10T15:55:44;2020-02-10T21:44:41;2020-02-10T12:17:33;Low;true;false;B;seize Glen Refined
2;Mandatory Assistant;Strategist;CUSTOMER_REVIEW;Senior Optional Yemeni Rial;2020-02-10T20:12:24;2020-02-10T09:27:47;2020-02-10T18:01:41;2020-02-10T06:54:42;Low;false;true;F;Unbranded Plastic Chips Brand Regional
3;Generic B2B;olive;TIE_POINTS;Fantastic;2020-02-09T22:37:55;2020-02-10T15:46:42;2020-02-09T22:20:54;2020-02-10T11:08:22;High;true;true;B;Licensed Usability models
4;Personal Loan Account markets;SCSI Aruba Chair;QC_START;Liaison engage navigate;2020-02-10T12:35:08;2020-02-09T22:44:22;2020-02-10T02:07:03;2020-02-10T01:48:23;Low;false;false;B;SMS
5;Zimbabwe parse Customer;input Accounts;CUSTOMER_APPROVE;Response;2020-02-10T07:28:09;2020-02-10T17:02:37;2020-02-10T16:31:47;2020-02-10T00:56:24;Medium;false;true;B;connecting Planner Refined
6;engage Granite Grocery;bluetooth payment digital;ASSIGNED;withdrawal Jamaica;2020-02-10T19:49:59;2020-02-10T00:19:03;2020-02-10T04:35:02;2020-02-10T13:39:33;Low;false;false;C;Granite Configuration Buckinghamshire
7;Practical Steel Chips;Berkshire concept;CUSTOMER_APPROVE;Granite Rubber;2020-02-10T18:22:17;2020-02-10T12:24:36;2020-02-10T18:41:07;2020-02-10T05:16:24;Medium;false;true;C;Automated
8;Pants even-keeled Chair;Brazil;CUSTOMER_REVIEW;Granite open architecture;2020-02-10T14:17:57;2020-02-10T21:04:25;2020-02-10T19:48:08;2020-02-10T02:49:53;Low;true;false;A;quantify
9;Manager;cultivate Bedfordshire;CUSTOMER_APPROVE;bypass Games Customer-focused;2020-02-10T04:53:49;2020-02-10T05:31:31;2020-02-10T00:31:57;2020-02-10T01:45:03;High;true;false;B;interface
10;Toys;overriding;QC_FAIL;Total;2020-02-10T13:47:13;2020-02-10T07:46:16;2020-02-10T10:38:31;2020-02-10T05:43:08;Low;false;true;A;architectures Cotton
